slang,formal
Aight,Alright
Bae,Before anyone else
Chillax,Relax
Dope,Excellent
Epic,Impressive
Fam,Family or close friends
Gonna,Going to
Hangry,Angry due to hunger
Lit,Amazing or exciting
Meh,Indifference or boredom
Noob,Inexperienced person
Outta,Out of
Peeps,People
Quitter,Someone who gives up easily
Ratchet,Low quality or trashy
Savage,Fierce or ruthless
Thirsty,Desperate for attention
Upshot,Result or consequence
Vibing,Feeling good
Wack,Uncool or boring
YOLO,You only live once
Zonked,Extremely tired or intoxicated
Adorbs,Adorable
Bruh,Brother or friend
Crash,Come to stay temporarily
Dank,High-quality or excellent
Epic fail,Disastrous failure
Frenemy,Friend who acts like an enemy
Gig,Temporary job or performance
Hangout,Casual gathering
Lit AF,Extremely amazing or exciting
Mood,Feeling or emotion
Nosh,Food or meal
Over it,Tired of something
Pumped,Excited or enthusiastic
Ratchet,Exciting or wild
Savage,Brutally honest or fierce
Thirst trap,Post to attract attention
Uptight,Tense or anxious
Vibes,Atmosphere or feeling
Wavy,Cool or impressive
YOLO,You only live once
Zonked,Tired or exhausted
Amazeballs,Amazing or fantastic
Bounce,Leave quickly
Chill pill,Relaxation or calmness
Dope,Fantastic or excellent
Extra,Over the top or dramatic
Ghost,Fade away or disappear
Hella,Very or extremely
Lit,Exciting or awesome
Mood,Current emotional state
Nom,Nominate or eat
On fleek,Perfectly styled or groomed
Pumped,Excited or energized
Rando,Random person
Salty,Upset or bitter
Troll,Deliberately provoke online
Vibe,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Express excitement or approval
Zonked,Tired or exhausted
Amazeballs,Amazing or fantastic
Basic,Ordinary or uninteresting
Chillax,Relax or take it easy
Dope,Fantastic or awesome
Extra,Over the top or excessive
GOAT,Greatest of all time
Hangry,Angry due to hunger
Lit,Exciting or amazing
Mood,Emotional state or feeling
Nom,Nominate or eat
On fleek,Stylish or perfectly groomed
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibe,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Awks,Awkward
Bromance,Close but non-sexual relationship between men
Cray,Extremely crazy or wild
Dank,High-quality or excellent
Fam,Friends or close acquaintances
Gnarly,Dangerous or extreme
Hundo,100%
Lit AF,Extremely amazing or exciting
Mood,Emotional state or atmosphere
Nom,Nominate or eat
On point,Exactly right or accurate
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibes,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Awks,Awkward
Bromance,Close but non-sexual relationship between men
Cray,Crazy or wild
Dope,Fantastic or excellent
Fam,Friends or close acquaintances
Gnarly,Extreme or intense
Hundo,100%
Lit AF,Extremely amazing or exciting
Mood,Emotional state or atmosphere
Nom,Nominate or eat
On point,Exactly right or accurate
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibes,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Awks,Awkward
Bromance,Close but non-sexual relationship between men
Cray,Crazy or wild
Dope,Fantastic or excellent
Fam,Friends or close acquaintances
Gnarly,Extreme or intense
Hundo,100%
Lit AF,Extremely amazing or exciting
Mood,Emotional state or atmosphere
Nom,Nominate or eat
On point,Exactly right or accurate
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibes,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Binge-watch,Watch multiple episodes of a TV series in one sitting
Crash,Come to stay temporarily
Dude,Buddy or friend
Epic fail,Massive failure
Facepalm,Express frustration or embarrassment
Gym rat,Regular gym-goer
Hassle,Annoyance or inconvenience
IDK,I don't know
JOMO,Joy of missing out
Kickback,Relaxed gathering
Legit,Legitimate or genuine
Meh,Indifference or boredom
NBD,No big deal
Obvs,Obviously
Peeps,People or friends
Ratchet,Low quality or trashy
Salty,Bitter or resentful
Totes,Totally
Ugh,Expression of frustration or annoyance
Vibes,Atmosphere or feeling
Woot,Expression of joy or excitement
XOXO,Hugs and kisses
YOLO,You only live once
Zonked,Tired or exhausted
Amped,Excited or energized
Bromance,Close friendship between men
Chill out,Relax
Dope,Excellent or awesome
Epic,Impressive or grand
Fam,Family or close friends
Gonna,Going to
Hangry,Irritable due to hunger
Lit,Amazing or exciting
Meh,Indifference or boredom
Noob,Inexperienced person
Outta,Out of
Peeps,People
Quitter,Someone who gives up easily
Ratchet,Low quality or trashy
Savage,Fierce or ruthless
Thirsty,Desperate for attention
Upshot,Result or consequence
Vibing,Feeling good
Wack,Uncool or boring
YOLO,You only live once
Zonked,Extremely tired or intoxicated
Adorbs,Adorable
Bruh,Brother or friend
Crash,Come to stay temporarily
Dank,High-quality or excellent
Epic fail,Disastrous failure
Frenemy,Friend who acts like an enemy
Gig,Temporary job or performance
Hangout,Casual gathering
Lit AF,Extremely amazing or exciting
Mood,Feeling or emotion
Nosh,Food or meal
Over it,Tired of something
Pumped,Excited or enthusiastic
Ratchet,Exciting or wild
Savage,Brutally honest or fierce
Thirst trap,Post to attract attention
Uptight,Tense or anxious
Vibes,Atmosphere or feeling
Wavy,Cool or impressive
YOLO,You only live once
Zonked,Tired or exhausted
Amazeballs,Amazing or fantastic
Bounce,Leave quickly
Chill pill,Relaxation or calmness
Dope,Fantastic or excellent
Extra,Over the top or dramatic
Ghost,Fade away or disappear
Hella,Very or extremely
Lit,Exciting or awesome
Mood,Current emotional state
Nom,Nominate or eat
On fleek,Perfectly styled or groomed
Pumped,Excited or energized
Rando,Random person
Salty,Upset or bitter
Troll,Deliberately provoke online
Vibe,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Express excitement or approval
Zonked,Tired or exhausted
Awks,Awkward
Bromance,Close but non-sexual relationship between men
Cray,Extremely crazy or wild
Dank,High-quality or excellent
Fam,Friends or close acquaintances
Gnarly,Dangerous or extreme
Hundo,100%
Lit AF,Extremely amazing or exciting
Mood,Emotional state or feeling
Nom,Nominate or eat
On fleek,Stylish or perfectly groomed
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibe,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Awks,Awkward
Bromance,Close but non-sexual relationship between men
Cray,Crazy or wild
Dope,Fantastic or excellent
Fam,Friends or close acquaintances
Gnarly,Extreme or intense
Hundo,100%
Lit AF,Extremely amazing or exciting
Mood,Emotional state or atmosphere
Nom,Nominate or eat
On point,Exactly right or accurate
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibes,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Awks,Awkward
Bromance,Close but non-sexual relationship between men
Cray,Crazy or wild
Dope,Fantastic or excellent
Fam,Friends or close acquaintances
Gnarly,Extreme or intense
Hundo,100%
Lit AF,Extremely amazing or exciting
Mood,Emotional state or atmosphere
Nom,Nominate or eat
On point,Exactly right or accurate
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibes,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Awks,Awkward
Bromance,Close but non-sexual relationship between men
Cray,Crazy or wild
Dope,Fantastic or excellent
Fam,Friends or close acquaintances
Gnarly,Extreme or intense
Hundo,100%
Lit AF,Extremely amazing or exciting
Mood,Emotional state or atmosphere
Nom,Nominate or eat
On point,Exactly right or accurate
Pumped,Excited or enthusiastic
Rando,Random person
Salty,Bitter or resentful
Troll,Deliberately provoke online
Vibes,Atmosphere or feeling
Woke,Aware of social issues
Yeet,Expression of excitement or approval
Zonked,Tired or exhausted
Binge-watch,Watch multiple episodes of a TV series in one sitting
Crash,Come to stay temporarily
Dude,Buddy or friend
Epic fail,Massive failure
Facepalm,Express frustration or embarrassment
Gym rat,Regular gym-goer
Hassle,Annoyance or inconvenience
IDK,I don't know
JOMO,Joy of missing out
Kickback,Relaxed gathering
Legit,Legitimate or genuine
Meh,Indifference or boredom
NBD,No big deal
Obvs,Obviously
Peeps,People or friends
Ratchet,Low quality or trashy
Salty,Bitter or resentful
Totes,Totally
Ugh,Expression of frustration or annoyance
Vibes,Atmosphere or feeling
Woot,Expression of joy or excitement
XOXO,Hugs and kisses
YOLO,You only live once
Zonked,Tired or exhausted
Amped,Excited or energized
Bromance,Close friendship between men
Chill out,Relax
Dope,Excellent or awesome
Epic,Impressive or grand
Fam,Family or close friends
Gonna,Going to
Hangry,Irritable due to hunger
Lit,Amazing or exciting
Meh,Indifference or boredom
Noob,Inexperienced person
Outta,Out of
Peeps,People
Quitter,Someone who gives up easily
Ratchet,Low quality or trashy
Savage,Fierce or ruthless
Thirsty,Desperate for attention
Upshot,Result or consequence
Vibing,Feeling good
Wack,Uncool or boring
YOLO,You only live once
Zonked,Extremely tired or intoxicated
Adorbs,Adorable
Bruh,Brother or friend
Crash,Come to stay temporarily
Dank,High-quality or excellent
Epic fail,Disastrous failure
