Text,Sentiment
Timu ya taifa ya Kenya yashinda mechi ya kufuzu Kombe la Dunia,Positive
Simba SC yapoteza mechi dhidi ya Yanga,Negative
Mchezaji wa Tanzania afunga bao la ushindi,Positive
Klabu ya Simba yazidi kuongoza ligi kuu ya Tanzania,Positive
Yanga yatoka sare dhidi ya Azam FC,Neutral
Kenya kufuzu kwa hatua ya robo fainali Kombe la Afrika,Positive
Kocha mkuu wa timu ya taifa ajiuzulu baada ya kushindwa,Negative
Mchezaji maarufu ashinda tuzo ya mchezaji bora wa mwaka,Positive
Mbio za magari kufanyika mwishoni mwa wiki,Neutral
Timu ya vijana ya Tanzania yashinda mashindano ya kimataifa,Positive
Simba SC yamnasa mchezaji mpya wa kimataifa,Positive
Klabu ya Yanga yamteua kocha mpya,Neutral
Timu ya taifa ya Kenya yazidi kujiandaa kwa mashindano,Positive
Wachezaji wa timu ya Simba waondolewa kwenye kikosi,Negative
Mshambuliaji maarufu kuhamia klabu ya kimataifa,Positive
Yanga yaendelea kufanya vizuri ligi kuu ya Tanzania,Positive
Mchezaji mchanga ashinda tuzo ya mchezaji bora wa mwaka,Positive
Simba SC yapokea kichapo kutoka kwa klabu pinzani,Negative
Timu ya taifa ya Kenya yaandikisha ushindi muhimu,Positive
Yanga yamaliza msimu kwa mafanikio,Positive
Simba SC yatwaa ubingwa wa ligi kuu ya Tanzania,Positive
Klabu ya Azam FC yamnasa mchezaji kutoka nje ya nchi,Positive
Timu ya taifa ya Tanzania yaondolewa kwenye mashindano,Negative
Mchezaji wa Simba SC afungwa jela kwa kosa la uhalifu,Negative
Yanga yashinda mechi muhimu dhidi ya mahasimu wao,Positive
Timu ya Kenya yashinda kombe la Afrika,Positive
Simba SC yaandikisha ushindi mkubwa,Positive
Klabu ya Yanga yateua kocha mpya,Neutral
Timu ya taifa ya Tanzania yatoka sare,Neutral
Yanga yapokea kichapo kutoka kwa klabu pinzani,Negative
Simba SC yapata ushindi dhidi ya timu ya wageni,Positive
Mchezaji maarufu afungwa kwa kosa la utumiaji wa dawa za kulevya,Negative
Timu ya Kenya yaongoza kundi katika michuano ya kimataifa,Positive
Simba SC yaanza vibaya msimu mpya wa ligi kuu ya Tanzania,Negative
Klabu ya Yanga yamnasa mchezaji mkongwe kutoka nje ya nchi,Positive
Timu ya taifa ya Tanzania yashinda mechi muhimu,Positive
Yanga yaanza kampeni nzuri msimu mpya wa ligi kuu ya Tanzania,Positive
Simba SC yaendelea kufanya vizuri katika michuano ya kimataifa,Positive
Klabu ya Azam FC yatwaa ubingwa wa michuano ya kitaifa,Positive
Timu ya taifa ya Kenya yaandikisha historia mpya,Positive
Simba SC yailaza Yanga katika mechi ya watani,Positive
Klabu ya Yanga yashinda mechi dhidi ya mahasimu wao,Positive
Timu ya taifa ya Tanzania yazidi kujiimarisha,Positive
Yanga yashindwa kwa penalti katika fainali ya kombe la FA,Negative
