slang,formal
Ảo,Hão huyền
Bảo đảm,Đảm bảo
Cắm cọc,Đặt cọc
Dễ sợ,Đáng sợ
Ê a,Xin lỗi
F.A,Độc thân
Gạ gẫm,Thuyết phục
Hớt hải,Vội vàng
Ỉa,Đi tiểu
J đấy?,Cái gì?
Kén chọn,Chọn lựa
Lười biếng,Thụ động
Mê trai,Hâm mộ nam giới
Ném đá,Phê phán
Ôm sấp mặt,Rất mệt
Phán đoán,Đoán định
Quen thuộc,Thân quen
Rổ mạt,Tổ chức
Săn sóc,Chăm sóc
Tào lao,Vô lý
Ù lì,Điếc đặc
Vắt óc,Cố gắng suy nghĩ
Xăm xăm,Xem xét
Yêu đương,Tình yêu
Zìa,Xa xôi
Ế,Độc thân
Ước gì,Mong muốn
A đùa,Đùa giỡn
Bắt mắt,Gây chú ý
Cô đơn,Đơn độc
Dễ thương,Đáng yêu
Em cưa,Em tán tỉnh
Gặp nhau,Gặp gỡ
Hiểu rõ,Hiểu biết
Ỉa cái,Đi tiểu
J chứ,Cái gì chứ
Kéo sáng,Duy trì sự sống
Lười nhác,Lười biếng
Mẹo chơi,Bí quyết
Nện,Giao hợp
Ông xã,Chồng
Phê bình,Nhận xét
Quay đầu,Trở lại
Rước bệnh,Mắc bệnh
Sắc sảo,Thông minh
Tàn nhẫn,Độc ác
Ù oà,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xanh rờn,Trẻ trung
Yêu cầu,Đòi hỏi
Zô lét,Nhàm chán
Ếch,Con cóc
Ướt nhẹp,Ướt sũng
A lô,Xin chào
Bắt mình,Bất ngờ
Có phong cách,Phong cách
Dễ ợt,Dễ thương
Em trai,Anh trai
Gà,Người mới
Hiểu biết,Biết
Ỉa đại,Đi tiểu
J dậy,Đâu rồi
Kẻ trộm,Trộm
Lào xào,Nói dối
Móng mảnh,Mỏng manh
Nghĩa nặng,Ý nghĩa sâu
Ông trời,Chúa trời
Phê bình,Nhận xét
Quay tay,Tự sướng
Rủ rê,Mời mọc
Sắc lẻo,Buồn rầu
Tài xế,Lái xe
Tâm sự,Chia sẻ
Ù phì,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xa cách,Lạc lõng
Yêu đương,Tình yêu
Zậy thôi,Vậy thôi
Ế,Độc thân
Ước ao,Mong muốn
A bà,Địt mẹ
Bắt mắt,Gây chú ý
Cô đơn,Đơn độc
Dễ thương,Đáng yêu
Em đẹp,Xinh đẹp
Gái đẹp,Phụ nữ xinh đẹp
Hiểu rõ,Hiểu biết
Ỉa cái,Đi tiểu
J chứ,Cái gì chứ
Khoái trá,Thích thú
Lười nhác,Lười biếng
Mẹo chơi,Bí quyết
Nện,Giao hợp
Ông xã,Chồng
Phê bình,Nhận xét
Quay đầu,Trở lại
Rước bệnh,Mắc bệnh
Sắc sảo,Thông minh
Tàn nhẫn,Độc ác
Ù oà,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xanh rờn,Trẻ trung
Yêu cầu,Đòi hỏi
Zô lét,Nhàm chán
Ếch,Con cóc
Ướt nhẹp,Ướt sũng
A lô,Xin chào
Bắt mình,Bất ngờ
Có phong cách,Phong cách
Dễ ợt,Dễ thương
Em trai,Anh trai
Gà,Người mới
Hiểu biết,Biết
Ỉa đại,Đi tiểu
J dậy,Đâu rồi
Kẻ trộm,Trộm
Lào xào,Nói dối
Móng mảnh,Mỏng manh
Nghĩa nặng,Ý nghĩa sâu
Ông trời,Chúa trời
Phê bình,Nhận xét
Quay tay,Tự sướng
Rủ rê,Mời mọc
Sắc lẻo,Buồn rầu
Tài xế,Lái xe
Tâm sự,Chia sẻ
Ù phì,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xa cách,Lạc lõng
Yêu đương,Tình yêu
Zậy thôi,Vậy thôi
Ế,Độc thân
Ước ao,Mong muốn
A bà,Địt mẹ
Bắt mắt,Gây chú ý
Cô đơn,Đơn độc
Dễ thương,Đáng yêu
Em đẹp,Xinh đẹp
Gái đẹp,Phụ nữ xinh đẹp
Hiểu rõ,Hiểu biết
Ỉa cái,Đi tiểu
J chứ,Cái gì chứ
Khoái trá,Thích thú
Lười nhác,Lười biếng
Mẹo chơi,Bí quyết
Nện,Giao hợp
Ông xã,Chồng
Phê bình,Nhận xét
Quay đầu,Trở lại
Rước bệnh,Mắc bệnh
Sắc sảo,Thông minh
Tàn nhẫn,Độc ác
Ù oà,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xanh rờn,Trẻ trung
Yêu cầu,Đòi hỏi
Zô lét,Nhàm chán
Ếch,Con cóc
Ướt nhẹp,Ướt sũng
A lô,Xin chào
Bắt mình,Bất ngờ
Có phong cách,Phong cách
Dễ ợt,Dễ thương
Em trai,Anh trai
Gà,Người mới
Hiểu biết,Biết
Ỉa đại,Đi tiểu
J dậy,Đâu rồi
Kẻ trộm,Trộm
Lào xào,Nói dối
Móng mảnh,Mỏng manh
Nghĩa nặng,Ý nghĩa sâu
Ông trời,Chúa trời
Phê bình,Nhận xét
Quay tay,Tự sướng
Rủ rê,Mời mọc
Sắc lẻo,Buồn rầu
Tài xế,Lái xe
Tâm sự,Chia sẻ
Ù phì,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xa cách,Lạc lõng
Yêu đương,Tình yêu
Zậy thôi,Vậy thôi
Ế,Độc thân
Ước ao,Mong muốn
A bà,Địt mẹ
Bắt mắt,Gây chú ý
Cô đơn,Đơn độc
Dễ thương,Đáng yêu
Em đẹp,Xinh đẹp
Gái đẹp,Phụ nữ xinh đẹp
Hiểu rõ,Hiểu biết
Ỉa cái,Đi tiểu
J chứ,Cái gì chứ
Khoái trá,Thích thú
Lười nhác,Lười biếng
Mẹo chơi,Bí quyết
Nện,Giao hợp
Ông xã,Chồng
Phê bình,Nhận xét
Quay đầu,Trở lại
Rước bệnh,Mắc bệnh
Sắc sảo,Thông minh
Tàn nhẫn,Độc ác
Ù oà,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xanh rờn,Trẻ trung
Yêu cầu,Đòi hỏi
Zô lét,Nhàm chán
Ếch,Con cóc
Ướt nhẹp,Ướt sũng
A lô,Xin chào
Bắt mình,Bất ngờ
Có phong cách,Phong cách
Dễ ợt,Dễ thương
Em trai,Anh trai
Gà,Người mới
Hiểu biết,Biết
Ỉa đại,Đi tiểu
J dậy,Đâu rồi
Kẻ trộm,Trộm
Lào xào,Nói dối
Móng mảnh,Mỏng manh
Nghĩa nặng,Ý nghĩa sâu
Ông trời,Chúa trời
Phê bình,Nhận xét
Quay tay,Tự sướng
Rủ rê,Mời mọc
Sắc lẻo,Buồn rầu
Tài xế,Lái xe
Tâm sự,Chia sẻ
Ù phì,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xa cách,Lạc lõng
Yêu đương,Tình yêu
Zậy thôi,Vậy thôi
Ế,Độc thân
Ước ao,Mong muốn
A bà,Địt mẹ
Bắt mắt,Gây chú ý
Cô đơn,Đơn độc
Dễ thương,Đáng yêu
Em đẹp,Xinh đẹp
Gái đẹp,Phụ nữ xinh đẹp
Hiểu rõ,Hiểu biết
Ỉa cái,Đi tiểu
J chứ,Cái gì chứ
Khoái trá,Thích thú
Lười nhác,Lười biếng
Mẹo chơi,Bí quyết
Nện,Giao hợp
Ông xã,Chồng
Phê bình,Nhận xét
Quay đầu,Trở lại
Rước bệnh,Mắc bệnh
Sắc sảo,Thông minh
Tàn nhẫn,Độc ác
Ù oà,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xanh rờn,Trẻ trung
Yêu cầu,Đòi hỏi
Zô lét,Nhàm chán
Ếch,Con cóc
Ướt nhẹp,Ướt sũng
A lô,Xin chào
Bắt mình,Bất ngờ
Có phong cách,Phong cách
Dễ ợt,Dễ thương
Em trai,Anh trai
Gà,Người mới
Hiểu biết,Biết
Ỉa đại,Đi tiểu
J dậy,Đâu rồi
Kẻ trộm,Trộm
Lào xào,Nói dối
Móng mảnh,Mỏng manh
Nghĩa nặng,Ý nghĩa sâu
Ông trời,Chúa trời
Phê bình,Nhận xét
Quay tay,Tự sướng
Rủ rê,Mời mọc
Sắc lẻo,Buồn rầu
Tài xế,Lái xe
Tâm sự,Chia sẻ
Ù phì,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xa cách,Lạc lõng
Yêu đương,Tình yêu
Zậy thôi,Vậy thôi
Ế,Độc thân
Ước ao,Mong muốn
A bà,Địt mẹ
Bắt mắt,Gây chú ý
Cô đơn,Đơn độc
Dễ thương,Đáng yêu
Em đẹp,Xinh đẹp
Gái đẹp,Phụ nữ xinh đẹp
Hiểu rõ,Hiểu biết
Ỉa cái,Đi tiểu
J chứ,Cái gì chứ
Khoái trá,Thích thú
Lười nhác,Lười biếng
Mẹo chơi,Bí quyết
Nện,Giao hợp
Ông xã,Chồng
Phê bình,Nhận xét
Quay đầu,Trở lại
Rước bệnh,Mắc bệnh
Sắc sảo,Thông minh
Tàn nhẫn,Độc ác
Ù oà,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xanh rờn,Trẻ trung
Yêu cầu,Đòi hỏi
Zô lét,Nhàm chán
Ếch,Con cóc
Ướt nhẹp,Ướt sũng
A lô,Xin chào
Bắt mình,Bất ngờ
Có phong cách,Phong cách
Dễ ợt,Dễ thương
Em trai,Anh trai
Gà,Người mới
Hiểu biết,Biết
Ỉa đại,Đi tiểu
J dậy,Đâu rồi
Kẻ trộm,Trộm
Lào xào,Nói dối
Móng mảnh,Mỏng manh
Nghĩa nặng,Ý nghĩa sâu
Ông trời,Chúa trời
Phê bình,Nhận xét
Quay tay,Tự sướng
Rủ rê,Mời mọc
Sắc lẻo,Buồn rầu
Tài xế,Lái xe
Tâm sự,Chia sẻ
Ù phì,Khóc lóc
Vắt óc,Cố gắng suy nghĩ
Xa cách,Lạc lõng
Yêu đương,Tình yêu
Zậy thôi,Vậy thôi
Ăn trộm,Trộm cắp
Bắt tay,Hiệp sĩ
Có duyên,Định mệnh
Dễ thương,Đáng yêu
Em cũng,Anh cũng
Giận dữ,Nổi giận
Hoa mắt,Chóng mặt
Iu thương,Yêu thương
Không đời,Đừng bao giờ
Lạc lõng,Bị lạc
Mất mát,Đau khổ
Ngày xưa,Thuở xưa
Oan trái,Bất công
Pha lê,Kính thước
Quán trọ,Lưu trú
Rơi lệ,Khóc lóc
Sớm chiều,Bình minh
Tâm sự,Chia sẻ
Ứa máu,Chảy máu
Vô duyên,Vô lý
Xúi giục,Thúc ép
Yên ắng,Bình yên
Zơ zề,Đắc ý
Ăn cắp,Trộm cắp
Bám đuổi,Theo đuổi
Cười khẩy,Châm chọc
Đằng sau,Phía sau
Em vẫn,Anh vẫn
Gian hỏa,Ngọn lửa
Hôn nhau,Hôn hít
Iu thương,Yêu thương
Không hẹn,Đừng bao giờ
Lạc mất,Bị lạc
Mở mắt,Mở cửa
Ngoài ra,Bên cạnh
Ổn áp,Ổn định
Phê bình,Nhận xét
Quán trọ,Lưu trú
Rơi nước,mắtKhóc
Sứ mệnh,Nhiệm vụ
Tự tìm,Tìm kiếm
Vô duyên,Vô lý
Xúi giục,Thúc ép
Yên bình,Bình yên
Zơ zề,Đắc ý
Ăn đậm,Ăn nặng
Bán mình,Bán rẻ
Cười lớn,Cười to
Đại ngộ,Lớn lao
Em hỏi,Anh hỏi
Gia đình,Tiền bối
Huyền diệu,Thần diệu
Im lặng,Im ắng
Khoác lác,Khoác lác
Lạc quan,Ổn áp
Mắt mở,Mắt to
Ngủ đêm,Đêm ngủ
Ôn hòa,Lành mạnh
Phê phán,Nhận xét
Quật ngã,Đánh bại
Rong chơi,Lãng phí
Sớm hôm,Sáng sớm
Tay bồi,Tiền bối
Ứa máu,Chảy máu
Vô vọng,Vô ích
Xuất phát,Bắt đầu
Yên bình,Bình yên
Zòi chân,Chân tay
Ăn hại,Nguy hại
Bám rễ,Bám rễ
Chấn thương,Trật khớp
Dọa dẫm,Đe dọa
Em hãi,Anh hãi
Gia nhập,Tham gia
Huyền bí,Bí ẩn
Im lặng,Im ắng
Khoác trái,Mang trái
Lạc quan,Ổn áp
Mặt mũi,Mặt trời
Nghiêng nước,Bóp méo
Ôn hòa,Lành mạnh
Phê phán,Nhận xét
Quả ngọt,Quả ngọt
Rủi ro,Nguy cơ
Sớm chiều,Bình minh
Tay vịn,Tiền bối
Ứa máu,Chảy máu
Vơ vét,Bị lạc
Xuống dốc,Lao dốc
Yên bình,Bình yên
Zòi chân,Chân tay
Ăn lương,Ăn lương
Bắt rốn,Chọn lựa
Châu báu,Báu vật
Dốc lòng,Lòng dạ
Em khóc,Anh khóc
Giao thời,Chuyển tiếp
Huyền thoại,Thần thoại
Im tiếng,Im lặng
Khoai tây,Khoai tây
Lạc quan,Ổn áp
Mào gà,Lông gà
Ngửa mặt,Tiên tri
Ổn định,Ổn định
Phê phán,Nhận xét
Quấn quýt,Quấn quýt
Rượu bia,Rượu bia
Sợ hãi,Sợ hãi
Tạm biệt,Chào tạm biệt
Ứa máu,Chảy máu
Vững vàng,Ổn định
Xuống sâu,Trầm lặng
Yên tâm,Bình tĩnh
Zùi zẻ,Phấn khích
Ăn ngủ,Ăn uống
Bắt rồi,Chọn rồi
Chân thành,Chân thành
Đả kích,Đánh bại
Em lạc,Anh lạc
Giao tiếp,Giao tiếp
Huyền thoại,Thần thoại
Im tiếng,Im lặng
Khoa trương,Khoa trương
Lạc quan,Ổn áp
Mẹo vặt,Mẹo vặt
Ngựa vằn,Ngựa vằn
Ổn định,Ổn định
Phê phán,Nhận xét
Quật ngã,Đánh bại
Rượu ngon,Rượu ngon
Sợi chỉ,Chỉ số
Tân thời,Mới mẻ
Ứa máu,Chảy máu
Vùng dậy,Dậy thì
Xuống sâu,Trầm lặng
Yên tĩnh,Bình tĩnh
Zồi zào,Đầy đủ
Ảo tưởng,Ước mơ
Bấn loạn,Loạn trí
Cầm đèn,Chiếu sáng
Điên cuồng,Mất kiểm soát
Ê a,Xin lỗi
Flirt,Tán tỉnh
Gấu bông,Gấu nhồi bông
Hít chợp,Hít thở
Iu thương,Yêu thương
Kỳ quặc,Kỳ lạ
Lè phè,Ngồi không
Mỡ màng,Tròn trĩnh
Ngậm ngùi,Chắp tay
Oải oải,Chần chừ
Phê phán,Nhận xét
Quán bia,Quán nhậu
Rắc rối,Phiền toái
Sở thích,Đam mê
Tính mạng,Sống còn
Ước gì,Mong muốn
