Sr No.,Text,Sentiment
1,"LeBron James leads Lakers to victory in overtime thriller against Warriors",Positive
2,"Roger Federer secures spot in Wimbledon semifinals with dominant performance",Positive
3,"Controversial decision mars championship fight between Tyson Fury and Deontay Wilder",Negative
4,"Serena Williams withdraws from US Open due to injury",Negative
5,"Messi scores hat-trick as Barcelona crushes Real Madrid in El Clasico",Positive
6,"Underdog team shocks world by winning Rugby World Cup against all odds",Positive
7,"Defending champions knocked out of Champions League in shocking upset",Negative
8,"Simone Biles sets new world record in gymnastics floor routine",Positive
9,"Rafael Nadal suffers surprising early exit from French Open",Negative
10,"Tom Brady announces retirement from NFL after legendary career",Neutral
11,"Up-and-coming star breaks Olympic swimming record",Positive
12,"Manchester City fined for violating financial fair play rules",Negative
13,"Dramatic comeback secures victory for hometown team in NBA Finals",Positive
14,"Tennis prodigy stuns audience with unexpected win at Australian Open",Positive
15,"Corruption scandal rocks FIFA as top officials implicated in bribery scheme",Negative
16,"Upset in the tennis world as top seed crashes out of Grand Slam tournament",Negative
17,"Golden State Warriors sign top free agent in blockbuster deal",Positive
18,"England wins Cricket World Cup in thrilling final against New Zealand",Positive
19,"Athlete tests positive for banned substance, faces suspension",Negative
20,"Legendary coach announces retirement after decades of success",Neutral
21,"Young phenom breaks records in track and field championship",Positive
22,"Formula 1 race ends in controversy after collision between leading drivers",Negative
23,"Boxing match ends in draw, sparking debate over judging",Neutral
24,"Injury-plagued team makes miraculous run to playoff berth",Positive
25,"Surprise announcement: Olympics to be held in unexpected location",Neutral
26,"Veteran player makes emotional return to the court after overcoming injury",Positive
27,"Scandal erupts as doping scandal rocks cycling world",Negative
28,"Soccer star faces backlash after controversial comments in press conference",Negative
29,"New rule changes implemented to improve safety in contact sports",Neutral
30,"Golfer wins major tournament with stunning final round comeback",Positive
31,"Team USA dominates competition to win gold medal in basketball",Positive
32,"Drug testing controversy overshadows world championship event",Negative
33,"Young prospect drafted first overall in highly anticipated sports draft",Positive
34,"Retired athlete launches foundation to support youth sports programs",Positive
35,"Controversial refereeing decision sparks outrage among fans",Negative
36,"Olympic gold medalist announces retirement to focus on family",Neutral
37,"World Cup qualifier ends in upset as underdog team defeats powerhouse",Positive
38,"Wimbledon under fire for gender pay gap controversy",Negative
39,"Cinderella story: Unknown athlete captures hearts with unexpected victory",Positive
40,"Huge upset as reigning champion knocked out in early rounds of tournament",Negative
41,"NBA star suffers season-ending injury in devastating blow to team's title hopes",Negative
42,"Athlete stripped of medals after failing drug test",Negative
43,"Record-breaking transfer fee paid for soccer superstar",Positive
44,"Controversy erupts over alleged match-fixing scandal in tennis",Negative
45,"Star player traded to rival team in blockbuster trade",Neutral
46,"Young phenom signs lucrative endorsement deal with major sportswear brand",Positive
47,"Cycling race cancelled due to adverse weather conditions",Neutral
48,"High-profile coach fired after string of disappointing results",Negative
49,"Swimmer breaks world record in Olympic qualifying event",Positive
50,"Soccer legend announces comeback after brief retirement",Neutral
51,"Basketball prodigy declared ineligible for college due to NCAA violations",Negative
52,"Surprise winner crowned in marathon race after favorites falter",Positive
53,"IOC announces stricter anti-doping measures for upcoming Olympics",Neutral
54,"Top-ranked tennis player reveals battle with mental health issues",Negative
55,"Star quarterback faces backlash for controversial social media post",Negative
56,"Fan-favorite team wins championship in thrilling overtime victory",Positive
57,"Cricketer fined for disciplinary breach during international match",Negative
58,"World record broken in weightlifting competition",Positive
59,"Controversy surrounds decision to award major sporting event to host city",Negative
60,"Boxer makes triumphant return to the ring after career-threatening injury",Positive
61,"Athlete faces criticism for skipping press conference after loss",Negative
62,"Gymnast's viral routine captivates audiences around the world",Positive
63,"Former champion announces retirement following series of defeats",Neutral
64,"Rivalry renewed as historic teams clash in highly anticipated matchup",Neutral
65,"Skiing sensation dominates competition to win gold medal",Positive
66,"Surprise inclusion in national team lineup raises eyebrows among fans",Neutral
67,"Athlete hailed as national hero after historic achievement",Positive
68,"Scandal rocks college sports as recruiting violations come to light",Negative
69,"Sudden death of beloved sports figure shocks fans worldwide",Negative
70,"Young sensation signs record-breaking contract extension",Positive
71,"Underdog story: Amateur athlete shocks world with upset victory",Positive
